time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2023-12-23 15:40:18,0,0,0,6.493506,0,46.23377,17.14286,0,0.2597403
2023-12-23 15:40:17,0,0,0,8.923885,0,42.51969,11.286089,0,0
2023-12-23 15:40:16,0,0,0,9.06801,0,43.57683,12.342569,0.2518892,0
2023-12-23 15:40:15,0,0,0,8.55615,0,38.77005,11.229947,0,0
2023-12-23 15:40:14,0,0,0,9.319899,0,44.58438,12.846348,0.2518892,0
2023-12-23 15:40:13,0,0,0,7.012987,0,44.15584,12.727273,0,0
2023-12-23 15:40:12,0,0,0,7.808564,0,69.01763,14.861461,0,0
2023-12-23 15:40:11,0,0,0,7.614213,0,63.45178,12.182741,0,0
2023-12-23 15:40:10,0,0,0,6.596306,0,39.84169,11.609499,0,0
2023-12-23 15:40:09,0,0,0,7.272727,0,50.38961,12.727273,0,0.2597403
2023-12-23 15:40:08,0,0,0,8.268734,0,69.50904,12.661499,0,0
2023-12-23 15:40:07,0,0,0,6.649616,0,61.12532,14.83376,0,0
2023-12-23 15:40:06,0,0,0,8.571429,0,37.4026,9.090909,0,0.2597403
2023-12-23 15:40:05,0,0,0,7.197943,0,41.90231,10.796915,0.2570694,0
2023-12-23 15:40:04,0,0,0,5.882353,0,62.9156,14.578005,0.2557545,0
2023-12-23 15:40:03,0,0,0,4.986877,0,47.24409,14.435696,0,0
2023-12-23 15:40:02,0,0,0,6.976744,0,53.22997,12.144703,0,0
2023-12-23 15:40:01,0,0,0,7.948718,0,39.48718,10.769231,0,0
2023-12-23 15:40:00,0,0,0,9.090909,0,39.74026,12.987013,0,0
2023-12-23 15:39:59,0,0,0,7.653061,0,46.93878,13.265306,0,0
2023-12-23 15:39:58,0,0,0,7.49354,0,55.03876,12.919897,0,0
2023-12-23 15:39:57,0,0,0,7.989691,0,62.62887,11.85567,0,0.257732
2023-12-23 15:39:56,0,0,0,6.169666,0,40.61697,10.796915,0,0
2023-12-23 15:39:55,0,0,0,6.476684,0,48.18653,10.621762,0,0
2023-12-23 15:39:54,0,0,0,7.712082,0,60.41131,13.11054,0,0
2023-12-23 15:39:53,0,0,0,6.878307,0,36.50794,9.52381,0,0
2023-12-23 15:39:52,0,0,0,6.138107,0,55.75448,10.741688,0,0
2023-12-23 15:39:51,0,0,0,8.060453,0,61.20907,10.579345,0,0
2023-12-23 15:39:50,0,0,0,6.582278,0,46.58228,13.670886,0,0
2023-12-23 15:39:49,0,0,0,7.106599,0,48.22335,13.705584,0,0
2023-12-23 15:39:48,0,0,0,5.822785,0,58.98734,12.151899,0,0
2023-12-23 15:39:47,0,0,0,6.075949,0,55.6962,11.139241,0,0
2023-12-23 15:39:46,0,0,0,5.729167,0,45.57292,11.458333,0,0
2023-12-23 15:39:45,0,0,0,6.377551,0,59.94898,12.755102,0,0
2023-12-23 15:39:44,0,0,0,6.091371,0,44.92386,12.436548,0.2538071,0
2023-12-23 15:39:43,0,0,0,5.804749,0,40.8971,7.387863,0,0.2638522
2023-12-23 15:39:42,0,0,0,6.329114,0,67.08861,10.886076,0,0
2023-12-23 15:39:41,0,0,0,4.960836,0,39.68668,10.443864,0,0
2023-12-23 15:39:40,0,0,0,5.412371,0,51.03093,10.56701,0,0
2023-12-23 15:39:39,0,0,0,5.958549,0,58.03109,9.326425,0,0
2023-12-23 15:39:38,0,0,0,6.887755,0,55.61224,10.204082,0,0
2023-12-23 15:39:37,0,0,0,5.641026,0,41.79487,10.512821,0.2564103,0
2023-12-23 15:39:36,0,0,0,6.282723,0,39.26702,9.947644,0,0
2023-12-23 15:39:35,0,0,0,6.426735,0,57.84062,12.85347,0,0
2023-12-23 15:39:34,0,0,0,5.684755,0,55.81395,12.919897,0.5167959,0
2023-12-23 15:39:33,0,0,0,5.384615,0,46.66667,11.538462,0,0
2023-12-23 15:39:32,0,0,0,6.234414,0,49.37656,10.224439,0,0
2023-12-23 15:39:31,0,0,0,5.670103,0,57.21649,14.690722,0,0
2023-12-23 15:39:30,0,0,0,6.426735,0,64.01028,11.053985,0,0
2023-12-23 15:39:29,0,0,0,5.370844,0,38.61893,9.207161,0,0
2023-12-23 15:39:28,0,0,0,5.684755,0,45.99483,10.852713,0,0.2583979
2023-12-23 15:39:27,0,0,0,5.316456,0,67.8481,10.886076,0.2531646,0
2023-12-23 15:39:26,0,0,0,4.336735,0,55.61224,11.989796,0,0.255102
2023-12-23 15:39:25,0,0,0,5.612245,0,60.96939,14.030612,0.255102,0
2023-12-23 15:39:24,0,0,0,5.181347,0,64.2487,10.880829,0,0
2023-12-23 15:39:23,0,0,0,4.177546,0,48.30287,9.660574,0,0
2023-12-23 15:39:22,0,0,0,5.612245,0,47.44898,7.908163,0,0
2023-12-23 15:39:21,0,0,0,6.649616,0,72.63427,11.508951,0,0
2023-12-23 15:39:20,0,0,0,5.154639,0,53.60825,11.597938,0,0
2023-12-23 15:39:19,0,0,0,5.541562,0,35.76826,9.06801,0,0
2023-12-23 15:39:18,0,0,0,5.181347,0,31.34715,9.326425,0.2590674,0.2590674
2023-12-23 15:39:17,0,0,0,5.412371,0,52.83505,9.793814,0,0.257732
2023-12-23 15:39:16,0,0,0,5.511811,0,50.3937,8.923885,0.2624672,0.2624672
2023-12-23 15:39:15,0,0,0,6.549118,0,43.32494,9.319899,0,0
2023-12-23 15:39:14,0,0,0,5.454545,0,35.84416,7.792208,0.2597403,0
2023-12-23 15:39:13,0,0,0,3.846154,0,59.48718,8.205128,0,0
2023-12-23 15:39:12,0,0,0,6.217617,0,39.89637,8.549223,0,0
2023-12-23 15:39:11,0,0,0,5.943152,0,42.89406,10.077519,0,0
2023-12-23 15:39:10,0,0,0,4.615385,0,41.53846,8.717949,0,0
2023-12-23 15:39:09,0,0,0,4.846939,0,38.26531,8.163265,0,0.255102
2023-12-23 15:39:08,0,0,0,4.724409,0,56.69291,9.448819,0,0
2023-12-23 15:39:07,0,0,0,5.820106,0,47.3545,10.582011,0,0
2023-12-23 15:39:06,0,0,0,5.867347,0,50.5102,10.459184,0.255102,0
2023-12-23 15:39:05,0,0,0,5.426357,0,60.20672,8.527132,0.2583979,0
2023-12-23 15:39:04,0,0,0,5.384615,0,52.82051,12.307692,0,0
2023-12-23 15:39:03,0,0,0,4.909561,0,58.91473,9.819121,0,0
2023-12-23 15:39:02,0,0,0,3.589744,0,57.4359,10.25641,0,0
2023-12-23 15:39:01,0,0,0,5.066667,0,24,8.266667,0,0
2023-12-23 15:39:00,0,0,0,4.303797,0,58.22785,9.873418,0,0
2023-12-23 15:38:59,0,0,0,4.896907,0,40.20619,8.505155,0,0
2023-12-23 15:38:58,0,0,0,4.37018,0,42.93059,9.768638,0,0.7712082
2023-12-23 15:38:57,0,0,0,5.699482,0,33.16062,6.994819,0,0
2023-12-23 15:38:56,0,0,0,4.699739,0,39.16449,8.093995,0,0
2023-12-23 15:38:55,0,0,0,4.050633,0,50.12658,8.860759,0,0
2023-12-23 15:38:54,0,0,0,4.871795,0,64.10256,9.230769,0.2564103,0
