ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,mb,type total
18519.666666666668,294.0,294.0,294.0,7272.977777777778,7293.033333333334,7444.472222222223,7549.450000000001,7729.233333333334,7729.233333333334,1703868284.0,17.41832111111111,0.0,0.0,0.0,0.0,0.0,0.0,total
18848.5,328.8333333333333,328.8333333333333,328.8333333333333,7666.855555555555,7662.9944444444445,7817.955555555556,7952.400000000001,8103.738888888888,8103.738888888888,1703868285.0,-0.09630388888888891,0.0,0.0,0.0,0.0,0.0,0.0,total
19127.055555555555,278.55555555555554,278.55555555555554,278.55555555555554,7983.855555555555,7963.361111111111,8188.799999999999,8246.466666666667,8327.672222222223,8327.672222222223,1703868286.0,0.05626666666666669,0.0,0.0,0.0,0.0,0.0,0.0,total
18320.21052631579,199.8421052631579,199.8421052631579,199.8421052631579,8136.978947368421,8161.678947368421,8359.368421052632,8407.757894736842,8460.405263157896,8460.405263157896,1703868287.0,0.0908257894736842,0.0,0.0,0.0,0.0,0.0,0.0,total
18633.315789473683,313.10526315789474,313.10526315789474,313.10526315789474,8648.9,8652.310526315789,8774.894736842105,8930.142105263158,9238.28947368421,9238.28947368421,1703868288.0,0.16342684210526312,0.0,0.0,0.0,0.0,0.0,0.0,total
18012.7,311.05,311.05,311.05,8522.03,8536.66,8659.335000000001,8734.914999999999,8953.92,8953.92,1703868289.0,0.1842695,0.0,0.0,0.0,0.0,0.0,0.0,total
18287.05,274.35,274.35,274.35,8904.885,8920.55,9071.835000000001,9155.664999999999,9230.619999999999,9230.619999999999,1703868290.0,0.1701275,0.0,0.0,0.0,0.0,0.0,0.0,total
18521.15,234.1,234.1,234.1,9434.74,9462.41,9619.895,9660.630000000001,9701.164999999999,9701.164999999999,1703868291.0,0.18803499999999998,0.0,0.0,0.0,0.0,0.0,0.0,total
18749.75,228.6,228.6,228.6,9948.314999999999,9981.710000000001,10157.355,10299.115,10455.35,10455.35,1703868292.0,0.19976549999999998,0.0,0.0,0.0,0.0,0.0,0.0,total
19007.35,257.6,257.6,257.6,10465.015,10468.345,10655.32,10728.61,10836.51,10836.51,1703868293.0,0.21063550000000003,0.0,0.0,0.0,0.0,0.0,0.0,total
19296.3,288.95,288.95,288.95,10892.925,10905.83,11062.369999999999,11108.505000000001,11176.665,11176.665,1703868294.0,0.22299799999999997,0.0,0.0,0.0,0.0,0.0,0.0,total
19571.35,275.05,275.05,275.05,11311.375,11322.22,11498.055,11550.895,11645.695,11645.695,1703868295.0,0.234215,0.0,0.0,0.0,0.0,0.0,0.0,total
19772.3,200.95,200.95,200.95,11894.16,11913.08,12154.45,12202.905,12253.025,12253.025,1703868296.0,0.24095150000000004,0.0,0.0,0.0,0.0,0.0,0.0,total
20058.5,286.2,286.2,286.2,12426.505000000001,12454.58,12573.265,12625.689999999999,12711.664999999999,12711.664999999999,1703868297.0,0.2509625,0.0,0.0,0.0,0.0,0.0,0.0,total
20383.6,325.1,325.1,325.1,12828.5,12849.03,12949.695,13033.795,13209.34,13209.34,1703868298.0,0.26196650000000005,0.0,0.0,0.0,0.0,0.0,0.0,total
20764.35,380.75,380.75,380.75,13054.035,13062.325,13175.76,13266.995,13387.8,13387.8,1703868299.0,0.274896,0.0,0.0,0.0,0.0,0.0,0.0,total
21107.6,343.25,343.25,343.25,13331.61,13353.404999999999,13462.25,13536.9,13656.45,13656.45,1703868300.0,0.28568249999999995,0.0,0.0,0.0,0.0,0.0,0.0,total
21408.3,300.7,300.7,300.7,13704.66,13737.404999999999,13862.8,13954.86,14140.470000000001,14140.470000000001,1703868301.0,0.29484049999999995,0.0,0.0,0.0,0.0,0.0,0.0,total
21710.5,302.2,302.2,302.2,14132.029999999999,14152.84,14276.154999999999,14307.4,14369.885,14369.885,1703868302.0,0.303496,0.0,0.0,0.0,0.0,0.0,0.0,total
21963.8,253.3,253.3,253.3,14507.669999999998,14524.465,14722.219999999998,14764.985,14847.414999999999,14847.414999999999,1703868303.0,0.3104325,0.0,0.0,0.0,0.0,0.0,0.0,total
22311.95,348.15,348.15,348.15,14942.49,14947.24,15066.36,15191.765,15347.804999999998,15347.804999999998,1703868304.0,0.3205655,0.0,0.0,0.0,0.0,0.0,0.0,total
22692.05,380.1,380.1,380.1,15250.64,15283.215,15358.710000000001,15395.185000000001,15433.36,15433.36,1703868305.0,0.33159449999999996,0.0,0.0,0.0,0.0,0.0,0.0,total
23107.5,415.45,415.45,415.45,15375.960000000001,15368.775,15478.654999999999,15546.605,15716.485,15716.485,1703868306.0,0.344288,0.0,0.0,0.0,0.0,0.0,0.0,total
23425.3,317.8,317.8,317.8,15686.015,15699.289999999999,15847.329999999998,15915.704999999998,16010.075,16010.075,1703868307.0,0.353294,0.0,0.0,0.0,0.0,0.0,0.0,total
23875.35,450.05,450.05,450.05,15945.48,15954.715,16020.145,16078.439999999999,16143.465,16143.885,1703868308.0,0.366839,0.0,0.0,0.0,0.0,0.0,0.0,total
24245.85,370.5,370.5,370.5,16050.654999999999,16045.725,16218.11,16294.460000000001,16445.45,16445.45,1703868309.0,0.3778135,0.0,0.0,0.0,0.0,0.0,0.0,total
24613.1,367.25,367.25,367.25,16291.105,16282.289999999999,16434.96,16488.65,16581.325,16581.325,1703868310.0,0.3897345,0.0,0.0,0.0,0.0,0.0,0.0,total
24944.3,331.2,331.2,331.2,16690.93,16695.43,16823.355,16975.2,17185.315,17185.315,1703868311.0,0.40065799999999996,0.0,0.0,0.0,0.0,0.0,0.0,total
25241.15,296.85,296.85,296.85,17042.989999999998,17072.920000000002,17225.605,17267.525,17338.405,17338.405,1703868312.0,0.4090225,0.0,0.0,0.0,0.0,0.0,0.0,total
25617.75,376.6,376.6,376.6,17321.355,17319.96,17457.95,17492.765,17567.010000000002,17567.010000000002,1703868313.0,0.42017,0.0,0.0,0.0,0.0,0.0,0.0,total
26104.9,487.15,487.15,487.15,17513.170000000002,17517.09,17585.46,17643.34,17719.245000000003,17736.45,1703868314.0,0.4366175,0.0,0.0,0.0,0.0,0.0,0.0,total
26614.5,509.6,509.6,509.6,17464.41,17464.655,17539.745000000003,17585.04,17640.41,17672.29,1703868315.0,0.4520740000000001,0.0,0.0,0.0,0.0,0.0,0.0,total
26995.55,381.05,381.05,381.05,17627.129999999997,17640.415,17737.715,17818.655,17921.435,17921.435,1703868316.0,0.46778,0.0,0.0,0.0,0.0,0.0,0.0,total
27505.05,509.5,509.5,509.5,17692.71,17693.254999999997,17764.135000000002,17809.435,17941.56,17977.625,1703868317.0,0.48712099999999997,0.0,0.0,0.0,0.0,0.0,0.0,total
28032.4,527.35,527.35,527.35,17643.015,17647.95,17733.52,17767.91,17835.86,17844.25,1703868318.0,0.511476,0.0,0.0,0.0,0.0,0.0,0.0,total
28396.65,364.25,364.25,364.25,17862.905,17908.004999999997,17988.11,18048.515,18122.745000000003,18122.745000000003,1703868319.0,0.5284500000000001,0.0,0.0,0.0,0.0,0.0,0.0,total
29008.85,612.2,612.2,612.2,17788.35,17791.405,17937.355,17962.1,18002.8,18021.25,1703868320.0,0.5600235,0.0,0.0,0.0,0.0,0.0,0.0,total
29669.9,661.05,661.05,661.05,17514.805,17519.2,17689.9,17725.120000000003,17763.3,17777.989999999998,1703868321.0,0.5987009999999999,0.0,0.0,0.0,0.0,0.0,0.0,total
30223.2,553.3,553.3,553.3,17314.78,17317.86,17399.235,17439.91,17484.364999999998,17513.315,1703868322.0,0.631679,0.0,0.0,0.0,0.0,0.0,0.0,total
30807.25,584.05,584.05,584.05,17186.44,17196.22,17285.565,17305.29,17337.985,17352.254999999997,1703868323.0,0.679509,0.0,0.0,0.0,0.0,0.0,0.0,total
31376.25,569.0,569.0,569.0,17004.195,17004.55,17107.305,17135.845,17178.605000000003,17199.579999999998,1703868324.0,0.7290945,0.0,0.0,0.0,0.0,0.0,0.0,total
31952.05,575.8,575.8,575.8,16898.879999999997,16911.85,16994.9,17019.225,17062.43,17092.625,1703868325.0,0.79226,0.0,0.0,0.0,0.0,0.0,0.0,total
