Timestamp,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP,Dst IP,Label
1690937021,,,6.0,90294250.5,353.1923076923077,359.2307692307692,69261.03846153847,26943.153846153848,399.84615384615387,66.0,181.34960315778503,113.96415161693297,144.76923076923077,71.23076923076923,81.65372522961727,10.750284835894124,1067.2887062718687,7.903558259793216,318873.3315078225,761335.4628166136,6618075.769230769,0.38461538461538464,89997235.3076923,629211.880843263,978895.8945593513,6620729.961538462,6349.423076923077,89058206.65384616,635043.9269260366,992039.374007841,6632342.153846154,7209.884615384615,0.0,0.0,0.0,0.0,7063.846153846154,7184.615384615385,3.918274707791185,3.985283552002031,66.0,413.0769230769231,131.68792505814994,102.63990430776812,10659.406060105654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917006361570914,131.68792505814994,0.0,0.0,0.0,48.656410256410254,0.40897435897435896,29.09931116642918,60008.53846153846,868.8076923076923,186.76923076923077,20.0,1930148.5201853702,1425440.8963997115,4312166.346153846,326750.53846153844,1591281.87193926,1563977.8905704017,5025719.230769231,230522.84615384616,,,
1690937023,,,6.0,90197505.5,304.5,299.0,22105.5,57932.0,92.0,66.0,72.59406362007168,6.752024936595548,314.0,66.0,192.792007992008,123.91494446173758,886.8541580476118,6.687098837483039,206644.62641248846,411332.1823357211,3249321.0,6.0,90038579.5,411224.9954183747,519456.7422728738,3297622.0,529.5,89782698.5,414790.09299187193,511897.5913840166,3249321.0,352.0,0.0,0.0,0.0,0.0,6090.0,5980.0,3.3740112206928714,3.3130876167901673,66.0,314.0,132.2583169216785,106.1021144858285,11257.80899284987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857750896057348,132.2583169216785,0.0,0.0,0.0,0.0,0.0,0.0,539.0,507.0,151.0,20.0,761039.1666666666,570353.3878621513,1979056.0,498.0,970922.875,800670.7440707714,2403947.0,163610.5,,,
1690937025,,,6.0,90501886.0,255.0,255.0,18494.0,48574.0,79.0,66.0,72.52549019607844,6.499950019031214,314.0,66.0,190.48627450980396,123.99904651690318,741.0674292467231,5.63524167883087,177803.3123772102,383326.7723391564,2994876.0,4.0,89884047.0,353874.2007874016,496390.3181749913,3061414.0,391.0,90392948.0,355877.74803149607,485320.8649714104,2994876.0,137.0,0.0,0.0,0.0,0.0,5100.0,5100.0,2.817620839415435,2.817620839415435,66.0,314.0,131.50588235294117,105.77189183640816,11187.693102652827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.50588235294117,0.0,0.0,0.0,0.0,0.0,0.0,501.0,507.0,128.0,20.0,985181.875,438482.4323503273,1901971.0,533041.0,759741.3846153846,358266.63713014696,1397972.0,104584.0,,,
1690937026,,,6.0,30.0,1.0,1.0,74.0,54.0,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,4266666.666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,33333.333333333336,33333.333333333336,54.0,74.0,64.0,10.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1690937030,,,6.0,90843324.66666667,22.0,22.0,1662.0,3598.6666666666665,136.0,66.0,101.0,35.0,129.33333333333334,88.66666666666667,108.41975308641975,16.405389430473665,57.817523664664385,0.4836393671611499,5783659.550835457,9433834.5823342,23311829.333333332,215.33333333333334,68966572.66666667,8631276.978616353,10420687.009790128,23366300.333333332,57644.0,90433924.33333333,12604523.97610063,10450901.359640175,23334805.333333332,89646.0,0.0,0.0,0.0,0.0,440.0,440.0,0.24181968358057496,0.24181968358057496,66.0,193.33333333333334,104.70987654320987,51.41736365722655,2744.4943987197075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.70987654320987,0.0,0.0,0.0,213.33333333333334,1.75,117.357332907913,1360.3333333333333,627.3333333333334,2.0,20.0,987088.8888888889,814887.8481238695,2899980.3333333335,201139.0,975220.9696969697,618546.0388896447,2332153.3333333335,267952.3333333333,,,
1690937031,,,6.0,90204468.3125,534.8125,523.5625,74134.625,70808.65625,263.78125,66.0,132.12133670517895,61.40559245354207,252.84375,67.6875,137.9650879469838,66.51739329860898,1607.3837324452645,11.737170848042119,182847.8461954366,391755.81559106597,2865694.65625,-22.8125,89681005.53125,360312.8310415645,500702.73944441776,2880603.59375,2240.15625,90052302.90625,372187.64693463175,510310.07352045353,2887764.9375,3388.65625,0.0,0.0,0.0,0.0,10696.25,10471.25,5.931085761864126,5.806085086177993,66.0,427.875,135.00795307995605,106.55384174418363,11404.234210389197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804216033501769,135.00795307995605,0.0,0.0,0.0,17.99375,0.146875,11.450445557955753,825.65625,1297.53125,283.875,20.0,753529.4071530033,491894.4893340249,1587537.71875,147036.375,717793.7230901044,532160.911131998,1754944.0,153614.625,,,
1690937032,,,6.0,90452920.3,191.4,190.1,13898.6,36678.2,85.5,66.0,72.5983784117654,6.6719766826362825,314.0,66.0,191.57372545456127,123.96661131027012,560.3423803751001,4.226614899977647,436594.8426871295,992787.3574935182,6196831.8,6.7,87702950.2,843856.8661690956,1264758.833651877,6226695.9,480.2,90009681.0,872750.4362334788,1266790.7354345086,6196831.8,210.1,0.0,0.0,0.0,0.0,3828.0,3802.0,2.120536692842407,2.1060782071352397,66.0,314.0,132.10569193430632,106.05959602867983,11248.77055666161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0009251039966152,132.10569193430632,0.0,0.0,0.0,0.0,0.0,0.0,537.1,507.0,95.5,20.0,1623476.1313095237,1424971.962445336,4180582.9,127689.3,1531316.6792787116,1455723.1930650847,4553129.6,171372.0,,,
1690937033,,,6.0,90309300.4,168.8,169.4,12167.8,32300.0,81.6,66.0,71.24926758644183,5.287692172915878,298.8,79.6,189.39600539811065,106.3804393939436,492.25091817697637,3.7438532417120074,364222.455599383,693584.5774691264,4443838.2,5.6,89654048.0,727863.9400164984,848322.1939297073,4463991.0,5580.6,89556247.2,720893.7496745863,835419.8218661023,4443840.8,5482.6,0.0,0.0,0.0,0.0,3376.0,3388.0,1.8686052489270146,1.8752479927849925,66.0,298.8,130.3804603062841,97.53224879702154,9793.529167657627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0019417475728154,130.3804603062841,0.0,0.0,0.0,100.33333333333334,0.8,84.52829001796718,501.0,507.0,78.0,20.0,1334570.745887446,895312.3957613364,3064824.8,262772.6,929422.7547152195,878558.7768810093,3282051.8,49745.0,,,
1690937034,,,6.0,90468121.66666667,85.33333333333333,88.0,6208.333333333333,16802.666666666668,83.33333333333333,66.0,72.70479344866766,6.614637125950783,396.6666666666667,66.0,191.1809523809524,126.28203769075817,254.42046916939782,1.9164530444911074,702992.718373414,1829749.7595483784,11109466.0,-12.0,88952222.66666667,1399855.8941145968,2441166.4881723225,11169720.0,6716.666666666667,90242562.33333333,1404794.6550156295,2392009.8437265772,11109466.0,436.0,0.0,0.0,0.0,0.0,1706.6666666666667,1760.0,0.9434763737864765,0.9729766707046307,66.0,396.6666666666667,132.568082413143,107.6387668862169,11589.853108449684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0221170130489057,132.568082413143,0.0,0.0,0.0,0.0,0.0,0.0,501.0,507.0,44.0,20.0,4538771.933333334,2739376.769114615,8563324.0,1107170.0,2902564.18015873,2876229.765478226,8367078.333333333,65623.0,,,
1690937035,,,6.0,90099641.5,86.5,86.5,5709.0,16109.5,66.0,66.0,66.0,0.0,238.0,127.0,186.31100188526798,40.12664222018532,242.1597588494634,1.9200971129073547,527849.8545761096,1071539.6678901708,6543879.0,9.5,84803042.5,999536.7772952854,1240925.176376278,6544113.0,255.5,88346973.5,1039504.0295698924,1309010.1417681794,6544028.0,307.0,0.0,0.0,0.0,0.0,1730.0,1730.0,0.9600485564536774,0.9600485564536774,66.0,238.0,126.15550094263399,66.53823752975121,4427.513684429436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,126.15550094263399,0.0,0.0,0.0,638.3555555555556,5.311111111111112,457.0252246546113,1787.5,507.0,0.0,20.0,2418977.435064935,1300081.676934125,5193836.5,497282.5,1521772.0509868423,1246396.6649025548,4588984.0,98586.0,,,
1690937038,,,6.0,92664029.0,86.0,86.0,5676.0,16054.0,66.0,66.0,66.0,0.0,238.0,134.0,186.67441860465115,41.86174416650577,234.50307778005205,1.856167941931383,541894.9064327485,991562.5148639516,5164616.0,20.0,88700228.0,1043532.094117647,1172404.758838914,5204534.0,39417.0,92603462.0,1089452.494117647,1210324.7262800336,5204108.0,39441.0,0.0,0.0,0.0,0.0,1720.0,1720.0,0.9280839709656916,0.9280839709656916,66.0,238.0,126.33720930232558,67.20700587530763,4516.781638723634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,126.33720930232558,0.0,0.0,0.0,755.8,6.2,386.43523364913176,501.0,507.0,0.0,20.0,1759925.7272727273,1341743.275807335,4097100.0,292.0,1457650.0,1048241.3057413712,4159661.0,225787.0,,,
1690937042,,,6.0,90595652.0,76.0,76.0,5016.0,14080.0,66.0,66.0,66.0,0.0,238.0,134.0,185.26315789473685,38.606778931962005,210.78274264199788,1.6777847131118389,599971.2052980133,1065975.4993473096,5189127.0,12.0,89394623.0,1191928.3066666666,1254034.826321119,5189144.0,40027.0,90194432.0,1202592.4266666668,1250660.9273580555,5189140.0,40026.0,0.0,0.0,0.0,0.0,1520.0,1520.0,0.8388923565559194,0.8388923565559194,66.0,238.0,125.63157894736842,65.58328214954575,4301.166897506926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.63157894736842,0.0,0.0,0.0,520.125,4.5,434.012430841981,501.0,507.0,0.0,20.0,1904364.3,1317008.3384143815,4094424.0,300134.0,1280199.6666666667,984309.3866806084,4089349.000000001,199804.0,,,
1690937044,,,6.0,90485377.11764705,535.0,532.6470588235294,55172.05882352941,91068.76470588235,156.52941176470588,66.0,101.32604237828323,33.93080804169277,344.05882352941177,70.0,168.3846962480845,91.09932302447224,1619.8296845468337,11.825169763962208,185722.6996026146,400286.97411358124,3206128.470588235,-22.235294117647058,89926337.47058824,368160.13549429283,517999.24760616233,3245027.529411765,4232.176470588235,89178104.76470588,357303.7830030965,464814.3316042926,2668721.2352941176,4351.588235294118,0.0,0.0,0.0,0.0,10700.0,10652.941176470587,5.925660814491969,5.899508949470238,66.0,411.6470588235294,134.78062571019882,105.22141254457722,11178.919030245634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0042188774888305,134.78062571019882,0.0,0.0,0.0,28.129411764705882,0.23529411764705882,20.098340144409473,1615.1176470588234,961.4117647058823,285.94117647058823,20.0,735351.5019607843,507795.235279853,1829056.8235294118,212481.29411764705,728348.5333144796,744220.4841608712,2394393.6470588236,83827.82352941176,,,
1690937045,,,6.0,90943261.0,164.4,164.2,11737.0,31224.6,81.6,66.0,69.94796121190568,4.013411587892205,333.2,93.2,188.54858262458262,91.31811473606885,471.21204149634343,3.6044479669180616,375313.53636686545,715106.3753848732,4354040.8,5.0,88802337.4,741722.8551104476,858705.4150415935,4209307.8,417.6,90741284.8,753644.1061110806,872602.3078420113,4362382.4,346.0,0.0,0.0,0.0,0.0,3288.0,3284.0,1.8033265081282739,1.8011214587897875,66.0,333.2,129.20349178292386,90.16844226870825,8521.254070638224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984991033758108,129.20349178292386,0.0,0.0,0.0,261.1,2.2,148.8804910727215,1538.8,507.0,67.2,20.0,1147299.6134920635,699244.5632556481,2526061.6,273880.4,1020954.3501282051,887706.4024162382,3100182.2,72847.6,,,
1690937046,,,6.0,91296883.0,122.0,127.0,8884.0,24254.0,79.0,66.0,72.81967213114754,6.492134450900381,314.0,66.0,190.9763779527559,123.9961559327279,362.9696755364584,2.727365840080214,368132.59274193546,916436.0301898924,8084516.000000001,9.0,87872557.0,726219.479338843,1204498.2386373372,8132484.0,13976.0,91172829.0,723593.880952381,1184462.6466445583,8084516.000000001,6016.0,0.0,0.0,0.0,0.0,2440.0,2540.0,1.336299728874643,1.391066111205571,66.0,314.0,133.0843373493976,106.5428855508836,11351.386461508684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.040983606557377,133.0843373493976,0.0,0.0,0.0,0.0,0.0,0.0,501.0,507.0,64.0,20.0,2578853.4444444445,1926009.148361226,6256384.0,183787.0,1899070.5714285716,2108194.443134006,8084516.000000001,52300.0,,,
