ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP,Dst IP,Label
28677.25,145.5,145.5,145.5,203800.75,203876.75,204178.725,204178.725,204178.725,204178.725,1690926643.0,-0.2051075,0.0,0.0,0.0,0.0,0.0,total,,,6.0,60075106.875,284.5,251.75,54900.125,18616.6875,391.5,66.0,185.16446659422115,122.7409589767786,137.0,66.0,73.76929332700294,8.769282466021895,1223.7171321109456,8.926061048680674,278551.56882132124,716095.0644860354,6664460.125,8.5625,60069280.5625,550010.4668131166,928815.4783792064,6664460.125,245.5,60042578.75,577832.8959977257,958713.1440092812,6695846.3125,240.125,0.0,0.0,0.0,0.0,5690.0,5035.0,4.735640564532821,4.190420484147853,66.0,391.5,131.92803018820473,104.86329657485216,11031.234108735238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218286066253152,131.92803018820473,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,652.875,147.0625,20.0,1771105.861235119,1507816.8610678916,3795429.0,372563.8125,1224132.0007733586,1353749.5056769496,4186012.75,134237.3125,,,
28840.0,162.75,162.75,162.75,204419.625,204447.15,204782.7,204849.8,204849.8,204849.8,1690926644.0,-0.2049375,0.0,0.0,0.0,0.0,0.0,total,,,6.0,67865019.0,194.33333333333331,221.66666666666663,14282.0,42158.0,83.33333333333333,66.0,73.38145676871775,6.638103983883063,396.6666666666667,66.0,190.2706217188976,124.50899349532187,831.7058180139184,6.130190057390094,177046.87295170632,388535.3941226904,3303850.6666666665,7.0,67865019.0,373208.7076605827,521376.5776640536,3369111.333333333,275.0,67796236.66666667,339542.4769824221,485795.3905577445,3303850.6666666665,144.33333333333334,0.0,0.0,0.0,0.0,3886.6666666666665,4433.333333333333,2.8636619553481766,3.266528102041916,66.0,396.6666666666667,135.07073892450356,107.73577416375352,11609.080780663906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122886602881927,135.07073892450356,0.0,0.0,0.0,0.0,0.0,0.0,3318.6666666666665,507.0,110.66666666666669,20.0,939230.4619047618,691518.3784767695,2127653.0,307928.3333333333,704322.4015151515,708777.1248126645,2439922.333333333,72227.0,,,
29087.5,133.5,133.5,133.5,205915.65,205957.1,206292.65,206393.325,206393.325,206393.325,1690926646.0,-0.20469,0.0,0.0,0.0,0.0,0.0,total,,,6.0,44793033.875,212.0,191.1875,41001.125,14135.25,407.0,66.0,184.3483966719128,122.36568679285963,137.0,66.0,73.86773078490879,9.188391180131248,1230.738411132531,8.999329833256757,250900.05360169825,647844.5705059054,5991123.3125,9.125,44723305.75,495406.470211731,842240.2423912561,5991123.3125,236.9375,44783693.9375,521746.7380548962,869518.3976837534,6020042.5,211.625,0.0,0.0,0.0,0.0,4240.0,3823.75,4.732331963055077,4.266997870201681,66.0,407.0,131.46410901275976,104.40382002553996,10947.099493666205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9247732581558344,131.46410901275976,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,531.375,110.375,20.0,1133858.4375,687006.2058776645,2178708.25,569330.125,1249474.1225536617,1402486.985317143,3877450.4375,154274.875,,,
29189.25,101.75,101.75,101.75,206692.15,206795.95,207097.95,207131.525,207131.525,207131.525,1690926647.0,-0.2045924999999999,0.0,0.0,0.0,0.0,0.0,total,,,6.0,64697824.0,89.0,98.0,6511.0,18372.0,79.0,66.0,73.15730337078652,6.466680158996012,314.0,66.0,187.46938775510205,123.97417473678124,384.6033523476771,2.89035996017424,347837.7634408602,775944.5120799816,4735048.0,9.0,64697824.0,735202.5454545454,1037889.1699539734,4835783.0,225.0,64640343.0,666395.2886597938,973172.0692884238,4735048.0,40636.0,0.0,0.0,0.0,0.0,1780.0,1960.0,1.3756258633984353,1.5147340967758052,66.0,314.0,133.06417112299465,106.4603370683091,11333.803368697989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101123595505618,133.06417112299465,0.0,0.0,0.0,0.0,0.0,0.0,2411.0,507.0,49.0,20.0,1331743.1666666667,1112176.1663530674,3291787.0,361860.0,1272550.7,1282581.6428295744,3591142.0,89859.0,,,
29503.25,141.0,141.0,141.0,208089.15,208138.15,208473.7,208507.25,208540.8,208540.8,1690926649.0,-0.2042775,0.0,0.0,0.0,0.0,0.0,total,,,6.0,74935392.0,322.1666666666667,279.94444444444446,60875.77777777778,21961.055555555555,412.6111111111111,66.0,173.38527719328386,111.11044013414416,158.88888888888889,66.0,86.58145732408072,21.52071513254917,1094.0336808812451,7.94536303684518,313698.0469799158,768110.1610974163,6781549.444444444,8.555555555555555,74776922.72222222,618913.9258655584,984847.8029112438,6781559.777777778,198.77777777777777,74757979.6111111,649350.5536376841,1014188.0125328174,6809588.777777778,257.72222222222223,0.0,0.0,0.0,0.0,6443.333333333333,5598.888888888889,4.256791300693376,3.688571736151804,66.0,438.0,132.50437237174924,105.9815071151948,11261.104904377058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9191599096065208,132.50437237174924,0.0,0.0,0.0,0.0,0.0,0.0,57830.05555555556,769.2777777777778,165.72222222222223,20.0,1779408.7149410774,1233567.207052835,3946003.388888889,670401.0,1824251.1852012184,1406798.4091037577,5106819.222222222,707682.6111111111,,,
29931.75,149.25,149.25,149.25,210244.05,210319.175,210688.3,210688.3,210688.3,210688.3,1690926652.0,-0.20386,0.0,0.0,0.0,0.0,0.0,total,,,6.0,44763473.75,306.25,297.25,59361.0,21783.25,562.0,66.0,193.1895797180379,126.50838185470278,142.0,66.0,73.24225896317385,8.403353544391052,1813.485441274065,13.487452751472125,84364.02152202796,238885.98778251116,4352078.75,10.0,44456545.0,165656.21402019885,317153.0003411332,4352078.75,98.25,44763436.0,171365.06870065024,319990.26001757605,4352183.0,189.0,0.0,0.0,0.0,0.0,6125.0,5945.0,6.8442936374718935,6.643159114000229,66.0,562.0,134.06991712464537,108.38641782141728,11752.338858622708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9720162470496048,134.06991712464537,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,501.0,158.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
30091.75,160.0,160.0,160.0,210925.325,210990.25,211258.675,211359.375,211392.925,211392.925,1690926653.0,-0.2037,0.0,0.0,0.0,0.0,0.0,total,,,6.0,44456015.75,164.83333333333334,137.91666666666666,31444.33333333333,10277.833333333334,438.0,65.0,179.65514572735125,122.54755500227368,135.33333333333334,66.0,74.07098008771422,9.605453171966936,939.052817909092,6.813659336583405,338394.18280357285,927341.8775357304,6986919.916666667,8.5,44383468.41666666,676070.0611288178,1222718.3399867548,6986919.916666667,283.9166666666667,44451139.75,700535.0606301731,1254019.7329745856,7025365.0,380.9166666666667,0.0,0.0,0.0,0.0,3296.6666666666665,2758.333333333333,3.7099288947236206,3.103730441859785,65.0,438.0,129.54992947780894,103.45449005738062,10789.23696848887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167967514783166,129.54992947780894,0.0,0.0,0.0,0.0,0.0,0.0,64860.0,528.9166666666666,84.33333333333333,20.0,1262899.3958333333,1139015.7216469964,2998711.9166666665,357851.1666666667,1939871.0369708997,2270166.8075499446,6066205.416666667,143560.33333333334,,,
30243.75,152.0,152.0,152.0,211639.2,211661.35,212030.475,212064.025,212131.125,212131.125,1690926654.0,-0.2035525,0.0,0.0,0.0,0.0,0.0,total,,,6.0,60409853.6,251.2,299.6,18656.6,59302.4,86.8,66.0,73.54775893775647,6.531576033580817,363.6,63.6,193.17048621247528,124.37812697646044,1515.791215627683,10.696808557798231,503403.0409909028,1154508.218661778,6396963.6,10.4,58910213.6,989078.3796281244,1498855.5571524808,6439747.6,179.2,60050554.6,1000403.2576963631,1473297.5197090055,6396981.6,8398.8,0.0,0.0,0.0,0.0,5024.0,5992.0,4.871543262770118,5.825265295028112,63.6,363.6,136.44969713346393,108.13247029949316,11706.37036473189,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115283096290329,136.44969713346393,0.0,0.0,0.0,0.0,0.0,0.0,3335.6,405.6,156.0,20.0,2244729.6,1742397.469010761,4944265.8,269595.0,1895722.152380952,1858846.5555482295,5740425.4,100748.6,,,
30383.0,139.25,139.25,139.25,212346.85,212433.125,212668.0,212735.1,212802.2,212802.2,1690926655.0,-0.203425,0.0,0.0,0.0,0.0,0.0,total,,,6.0,50192356.2,312.4,274.4,60982.8,20218.2,434.2,63.6,182.64218279929088,109.71464180207336,86.0,66.0,72.49172367382887,6.198540559774445,1620.122599300207,11.70498632853024,1741048.5611543185,2555122.9136592518,6871387.8,28.2,49940349.4,5150054.11451259,1149774.8752706707,6882947.8,4028514.0,50001453.2,3484021.7301964136,2654617.771696646,6882991.6,11638.4,0.0,0.0,0.0,0.0,6248.0,5488.0,6.234716047221303,5.470270281308939,63.6,434.2,129.2190104142092,96.42916656407358,9920.072732553585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893972922477692,129.2190104142092,0.0,0.0,0.0,0.0,0.0,0.0,505.8,4456.4,162.4,20.0,56089.1,44217.778588368725,120406.8,4430.0,92926.6,84770.91383563113,238444.0,20765.8,,,
30519.75,136.75,136.75,136.75,213101.375,213171.3,213506.85,213506.85,213506.85,213506.85,1690926656.0,-0.203295,0.0,0.0,0.0,0.0,0.0,total,,,6.0,49951318.5,117.5,134.33333333333334,8634.666666666666,25482.0,81.16666666666667,66.0,73.0000466066192,6.442432438978273,355.3333333333333,66.0,187.9454030744412,124.17201325722635,696.7393411695442,5.141049535791944,365637.1556259875,741937.3619777752,3853656.5,8.333333333333334,49951318.5,740153.6379998144,936653.1610366142,3882501.6666666665,315.1666666666667,49402475.5,738426.4877527357,919988.888495034,3853656.5,339.6666666666667,0.0,0.0,0.0,0.0,2350.0,2686.6666666666665,2.397408504173329,2.743641031618615,66.0,355.3333333333333,132.22638203024408,106.05584106000838,11256.041618355825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0716760927244795,132.22638203024408,0.0,0.0,0.0,0.0,0.0,0.0,2074.5,507.0,67.5,20.0,1470971.3194444445,583554.1453280109,2236191.5,856567.6666666666,1228907.6630036628,1062086.5578170952,3202219.0,72473.5,,,
30672.5,152.75,152.75,152.75,213784.275,213875.925,214177.975,214211.525,214211.525,214211.525,1690926657.0,-0.2031425,0.0,0.0,0.0,0.0,0.0,total,,,6.0,47561411.0,70.5,75.5,5147.0,14159.0,79.0,66.0,72.9840425531915,6.481581177783973,314.0,66.0,186.9061386138614,123.9473411518793,405.9165216803257,3.0697096616463497,370295.9307345361,988925.050084386,6072597.0,8.5,47561411.0,772676.891771856,1351483.342234123,6130662.0,235.0,47499307.0,722188.6232653061,1288054.2568319498,6072597.0,203.0,0.0,0.0,0.0,0.0,1410.0,1510.0,1.4822913283603418,1.587418333286008,66.0,314.0,131.85054189796458,105.82910277898812,11200.157174934766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.069148936170213,131.85054189796458,0.0,0.0,0.0,0.0,0.0,0.0,2645.5,507.0,38.0,20.0,1770816.4,1372156.28815056,3844773.0,753406.5,1612365.6349206348,1380833.0532197822,4285822.5,321146.5,,,
31122.25,162.0,162.0,162.0,215851.6,215922.8,216224.75,216258.3,216291.85,216291.85,1690926660.0,-0.20272,0.0,0.0,0.0,0.0,0.0,total,,,6.0,91413425.0,89.0,89.0,5874.0,16626.0,66.0,66.0,66.0,0.0,238.0,120.0,186.80898876404493,42.65536740716605,246.13452564544,1.9471975806617023,516460.0282485876,979558.2541747424,5083605.0,7.0,88915304.0,1010401.1818181818,1172475.3173970478,5083636.0,89.0,90304964.0,1026192.7727272728,1183003.1364399726,5083619.0,119.0,0.0,0.0,0.0,0.0,1780.0,1780.0,0.9735987903308512,0.9735987903308512,66.0,238.0,126.40449438202248,67.51624342236427,4558.443125867946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,126.40449438202248,0.0,0.0,0.0,707.1111111111111,5.777777777777778,348.98627821488805,501.0,507.0,0.0,20.0,2420948.125,928774.170623494,3677102.0,510705.0,1483256.8666666667,1037478.8342832424,3186153.0,53931.0,,,
31437.75,162.0,162.0,162.0,217318.15,217432.75,217634.05,217667.6,217667.6,217667.6,1690926662.0,-0.2024099999999999,0.0,0.0,0.0,0.0,0.0,total,,,6.0,90260051.0,103.5,103.5,6831.0,19352.5,66.0,66.0,66.0,0.0,238.0,134.0,186.95451148888475,40.42396655898065,290.0877260595595,2.2933609874707424,438411.460022164,752596.4305441651,3693704.5,10.0,88700041.0,865881.2590476191,877707.9506160638,3705764.0,24984.5,89422254.5,872745.2523809525,877423.7849606101,3705687.0,25018.5,0.0,0.0,0.0,0.0,2070.0,2070.0,1.1466804937353712,1.1466804937353712,66.0,238.0,126.47725574444236,66.89388907448327,4475.486542457272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,126.47725574444236,0.0,0.0,0.0,658.8384615384616,5.384615384615385,374.1471090837816,501.0,507.0,0.0,20.0,1365421.0512820513,689871.3581226089,2500902.5,301417.5,1080377.95,777576.4455554264,2516195.5,8928.0,,,
32202.25,178.25,178.25,178.25,220720.525,220721.025,221123.725,221157.275,221157.275,221157.275,1690926667.0,-0.20169,0.0,0.0,0.0,0.0,0.0,total,,,6.0,90015239.81818181,3204.181818181818,2178.2727272727275,993908.5454545454,749174.0909090909,1591.090909090909,76.81818181818181,258.9007336985505,178.9608508264141,1339.090909090909,68.81818181818181,402.6826463341799,238.19944399843945,19364.262054820152,59.79480906419592,20669.406097921816,40412.42153811341,740107.6363636364,-205.0,89999222.36363636,41200.27221410567,54476.16256032248,774447.2727272727,13.818181818181818,89908949.18181819,48136.8429559748,59753.259800523,774244.3636363636,3.1818181818181817,0.0,0.0,0.0,0.0,64083.63636363636,43565.454545454544,35.59556311700656,24.199245947189368,66.0,2862.0,377.3583069357416,416.00301953244815,202809.41333885948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9239735153666738,377.3583069357416,722263.8181818182,2323.318181818182,8709.482262598618,551107.6363636364,1001.0,6753.769323951347,2643.5454545454545,2233.454545454545,2532.7272727272725,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
