ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
20089.466666666667,89.53333333333333,89.53333333333333,89.53333333333333,154847.0,154892.42666666667,155243.77333333335,155294.8,155322.62,155322.62,1690928200.0,-0.06841266666666668,0.0,0.0,0.0,0.0,0.0,total
20183.933333333334,94.46666666666667,94.46666666666667,94.46666666666667,155730.72,155846.5,156108.91333333336,156118.14,156131.27333333335,156131.27333333335,1690928201.0,-0.05699133333333333,0.0,0.0,0.0,0.0,0.0,total
20285.8,101.86666666666666,101.86666666666666,101.86666666666666,156494.73333333334,156519.68666666665,156912.68666666665,156979.37999999998,157006.50666666668,157006.50666666668,1690928202.0,-0.052377999999999994,0.0,0.0,0.0,0.0,0.0,total
20364.266666666666,78.46666666666667,78.46666666666667,78.46666666666667,157289.81999999998,157323.30666666667,157717.84666666668,157810.69333333333,157843.40666666668,157843.40666666668,1690928203.0,-0.05132466666666666,0.0,0.0,0.0,0.0,0.0,total
19185.75,94.25,94.25,94.25,148299.9375,148317.3375,148709.43125,148735.45,148770.4875,148770.4875,1690928204.0,-0.0014943749999999922,0.0,0.0,0.0,0.0,0.0,total
19287.125,101.375,101.375,101.375,149072.01875,149079.45,149509.05,149544.7625,149575.7625,149575.7625,1690928205.0,0.009996874999999988,0.0,0.0,0.0,0.0,0.0,total
19383.75,96.625,96.625,96.625,149866.8125,149889.4875,150282.1875,150335.00625,150357.8125,150357.8125,1690928206.0,0.016213124999999984,0.0,0.0,0.0,0.0,0.0,total
20386.933333333334,76.53333333333333,76.53333333333333,76.53333333333333,157749.52666666667,157824.10666666666,158178.53333333333,158218.1,158244.80666666667,158244.80666666667,1690928207.0,0.038231333333333326,0.0,0.0,0.0,0.0,0.0,total
20489.2,102.26666666666667,102.26666666666667,102.26666666666667,158599.46,158649.12,158979.5,159013.89333333334,159036.25999999998,159036.25999999998,1690928208.0,0.04165600000000001,0.0,0.0,0.0,0.0,0.0,total
20584.666666666668,95.46666666666667,95.46666666666667,95.46666666666667,159351.93333333332,159424.10666666666,159735.86666666667,159784.24000000002,159813.0466666667,159813.0466666667,1690928209.0,0.04456666666666668,0.0,0.0,0.0,0.0,0.0,total
20663.933333333334,79.26666666666667,79.26666666666667,79.26666666666667,160287.5,160337.62666666665,160604.66,160651.35333333333,160668.68666666665,160668.68666666665,1690928210.0,0.04611133333333335,0.0,0.0,0.0,0.0,0.0,total
20738.333333333332,74.4,74.4,74.4,161031.38666666666,161052.89333333334,161491.32666666666,161534.10666666666,161576.60666666666,161576.60666666666,1690928211.0,0.04772866666666666,0.0,0.0,0.0,0.0,0.0,total
20803.066666666666,64.73333333333333,64.73333333333333,64.73333333333333,161861.7,161845.60666666666,162369.9,162407.36666666667,162428.62,162428.62,1690928212.0,0.04922266666666667,0.0,0.0,0.0,0.0,0.0,total
20908.0,104.93333333333334,104.93333333333334,104.93333333333334,162728.57333333333,162775.06666666668,163136.89333333334,163198.69333333333,163267.48,163267.48,1690928213.0,0.050846666666666644,0.0,0.0,0.0,0.0,0.0,total
19693.125,91.875,91.875,91.875,153289.5625,153326.78125,153644.5,153732.3125,153752.23125,153752.23125,1690928214.0,0.04881000000000001,0.0,0.0,0.0,0.0,0.0,total
18023.14285714286,100.57142857142857,100.57142857142857,100.57142857142857,140541.42142857143,140556.59285714285,140914.90714285715,140988.97142857144,141005.01428571428,141005.01428571428,1690928215.0,-0.3680742857142857,0.0,0.0,0.0,0.0,0.0,total
18093.14285714286,70.0,70.0,70.0,141503.69285714286,141551.47142857144,141875.17857142858,141946.7857142857,141970.15714285715,141970.15714285715,1690928216.0,-0.3217264285714286,0.0,0.0,0.0,0.0,0.0,total
18208.85714285714,115.71428571428571,115.71428571428571,115.71428571428571,142226.95,142258.95714285714,142580.27857142856,142665.65,142674.48571428572,142674.48571428572,1690928217.0,-0.2727642857142857,0.0,0.0,0.0,0.0,0.0,total
17310.30769230769,103.38461538461539,103.38461538461539,103.38461538461539,135136.4923076923,135141.12307692308,135580.56153846154,135625.72307692308,135667.8230769231,135667.8230769231,1690928218.0,-0.25156384615384614,0.0,0.0,0.0,0.0,0.0,total
17417.23076923077,106.92307692307692,106.92307692307692,106.92307692307692,136013.69999999998,136070.0,136379.4,136416.5076923077,136460.70769230768,136460.70769230768,1690928219.0,-0.2369946153846154,0.0,0.0,0.0,0.0,0.0,total
17517.153846153848,99.92307692307692,99.92307692307692,99.92307692307692,136687.8307692308,136733.34615384616,137113.4076923077,137219.55384615384,137223.74615384615,137223.74615384615,1690928220.0,-0.22831384615384615,0.0,0.0,0.0,0.0,0.0,total
17632.153846153848,115.0,115.0,115.0,137605.52307692307,137651.25384615385,137934.52307692307,137983.88461538462,137999.03846153847,137999.03846153847,1690928221.0,-0.22347615384615382,0.0,0.0,0.0,0.0,0.0,total
17745.23076923077,113.07692307692308,113.07692307692308,113.07692307692308,138342.01538461537,138357.5076923077,138738.85384615386,138755.63846153847,138773.39230769232,138773.39230769232,1690928222.0,-0.21748923076923077,0.0,0.0,0.0,0.0,0.0,total
17854.46153846154,109.23076923076923,109.23076923076923,109.23076923076923,139052.6,139052.47692307693,139490.27692307692,139529.63846153847,139542.22307692308,139542.22307692308,1690928223.0,-0.21289923076923076,0.0,0.0,0.0,0.0,0.0,total
