pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
33.09090909090909,33.09090909090909,186.84545454545457,64.0,703.6,787.8727272727273,803.3454545454545,803.3454545454545,1691056782.0,-0.22127181818181815,0.0,0.0,0.0,0.0,0.0,total
44.54545454545455,44.54545454545455,115.5090909090909,65.02727272727272,465.45454545454544,740.3636363636364,785.8636363636364,785.8636363636364,1691056783.0,-0.22628545454545454,0.0,0.0,0.0,0.0,0.0,total
43.54545454545455,43.54545454545455,133.79090909090908,56.654545454545456,401.17272727272723,574.1363636363636,617.8272727272728,617.8272727272728,1691056784.0,-0.23945363636363634,0.0,0.0,0.0,0.0,0.0,total
18.90909090909091,18.90909090909091,307.02727272727276,62.76363636363636,957.8454545454545,1065.3,1065.3,1065.3,1691056785.0,-0.23932090909090914,0.0,0.0,0.0,0.0,0.0,total
30.5,30.5,198.76666666666665,63.458333333333336,715.8416666666667,1085.4666666666667,1085.4666666666667,1085.4666666666667,1691056786.0,-0.14443666666666669,0.0,0.0,0.0,0.0,0.0,total
46.25,46.25,223.0,174.86666666666667,578.35,794.4833333333332,803.9250000000001,803.9250000000001,1691056787.0,-0.1691783333333333,0.0,0.0,0.0,0.0,0.0,total
30.5,30.5,127.06666666666666,63.775,439.32500000000005,612.3083333333333,628.6916666666667,628.6916666666667,1691056788.0,-0.18813000000000002,0.0,0.0,0.0,0.0,0.0,total
23.076923076923077,23.076923076923077,238.8692307692308,54.30769230769231,855.8846153846154,965.376923076923,1017.1846153846153,1017.1846153846153,1691056789.0,-0.10524307692307691,0.0,0.0,0.0,0.0,0.0,total
34.46153846153846,34.46153846153846,197.25384615384615,70.02307692307691,923.9692307692308,1084.6461538461538,1086.5,1086.5,1691056790.0,-0.12303769230769232,0.0,0.0,0.0,0.0,0.0,total
34.07692307692308,34.07692307692308,120.8153846153846,68.46923076923078,455.6076923076923,733.0692307692308,754.2076923076924,754.2076923076924,1691056791.0,-0.15289538461538463,0.0,0.0,0.0,0.0,0.0,total
37.15384615384615,37.15384615384615,124.6,67.83846153846153,524.9461538461538,744.0461538461539,761.9230769230769,761.9230769230769,1691056792.0,-0.17566538461538458,0.0,0.0,0.0,0.0,0.0,total
