Src IP,Src Port,Dst IP,Dst Port,Protocol,time,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
201.54.158.2,52088,10.50.75.153,9042,6,2023-07-19 13:37:48,90020779.0,358,245,67726,18565,562.0,66.0,189.17877094972067,124.9774567231716,132.0,66.0,75.77551020408163,6.924270553558366,958.5675769368759,6.698453475946925,149536.1777408638,365072.47121742007,4705620.0,3.0,90020779.0,252159.04481792718,447956.29753627407,4705620.0,3.0,89879405.0,368358.2172131148,529107.0975869626,4748503.0,258.0,0,0,0,0,7160,4900,3.9768596092686552,2.72159386667827,66,562,143.1028192371476,111.33210909750312,12394.838516098336,1,0,0,0,0,0,0,0.6843575418994413,143.1028192371476,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,179,20,1187859.8333333333,1038743.7793237588,3425935.0,396587.0,1000932.8888888889,1338043.7868641953,4705620.0,40645.0,NeedManualLabel
201.54.158.2,52070,10.50.75.153,9042,6,2023-07-19 13:37:48,90028609.0,663,419,126296,32077,562.0,66.0,190.49170437405732,127.47416089501618,132.0,66.0,76.55608591885442,6.017363892286086,1759.1408082290818,12.018401839353087,83282.70952821462,211421.13165785983,4712412.0,2.0,90028609.0,135994.87764350453,259047.01948487185,4712412.0,2.0,89983116.0,215270.61244019138,321555.71105463174,4755700.0,115.0,0,0,0,0,13260,8380,7.364325711174766,4.654076128178321,66,562,146.3706099815157,114.24256058160461,13051.3626482416,1,0,0,0,0,0,0,0.6319758672699849,146.3706099815157,0.0,0.0,0.0,0.0,0.0,0.0,64860,1104,330,20,0.0,0.0,0.0,0.0,1394573.5,1934144.5695439237,4712412.0,41315.0,NeedManualLabel
201.54.158.2,52108,10.50.75.153,9042,6,2023-07-19 13:37:48,90021337.0,36,31,6050,2335,314.0,66.0,168.05555555555554,117.9168597040692,132.0,66.0,75.3225806451613,12.376843875076249,93.144584155643,0.7442679950421087,1363959.6515151516,3402020.108981968,16825405.0,13.0,90021337.0,2572038.2,4326754.536065089,16825405.0,630.0,89976095.0,2999203.1666666665,4573897.072061403,16911199.0,208.0,0,0,0,0,720,620,0.3999051913659092,0.34436280367619954,66,314,125.14925373134328,98.38581588877433,9679.7687680998,1,0,0,0,0,0,0,0.8611111111111112,125.14925373134328,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,17,20,6525488.333333333,4796767.149687751,12555703.0,819499.0,4141878.3333333335,3590243.3588393726,11510861.0,806085.0,NeedManualLabel
201.54.158.2,52098,10.50.75.153,9042,6,2023-07-19 13:37:48,90024181.0,68,62,12130,4589,314.0,66.0,178.38235294117646,121.31316176735761,132.0,66.0,74.01612903225806,9.970103593281769,185.71676869795684,1.4440564585641718,697861.8682170543,1637963.1154047705,7956352.0,17.0,90024181.0,1343644.4925373134,2074243.6192532345,7956352.0,551.0,89978820.0,1475062.6229508198,2161926.6006475748,8000366.0,231.0,0,0,0,0,1360,1240,0.7553526090951053,0.6887038494690666,66,314,128.6076923076923,102.28756568945492,10462.746094674556,1,0,0,0,0,0,0,0.9117647058823529,128.6076923076923,0.0,0.0,0.0,0.0,0.0,0.0,64860,501,33,20,3113957.1666666665,1628988.6752466408,4708195.0,201962.0,2960010.5555555555,2237924.0671155793,6742000.0,156200.0,NeedManualLabel
201.54.158.2,52048,10.50.75.153,9042,6,2023-07-19 13:37:48,90032124.0,1365,857,271580,66172,562.0,66.0,198.95970695970695,127.87103388521513,132.0,66.0,77.21353558926488,5.090307327638177,3751.460978528064,24.680079745758302,40536.75101305718,111145.78190447773,4619710.0,2.0,90032124.0,66005.9560117302,138667.91552840787,4619710.0,2.0,89985236.0,105122.93925233645,175490.67685381693,4664240.0,83.0,0,0,0,0,27300,17140,15.161255109342973,9.518824636415331,66,562,152.00360036003602,116.4751086375622,13566.450932131916,1,0,0,0,0,0,0,0.6278388278388278,152.00360036003602,0.0,0.0,0.0,0.0,0.0,0.0,64860,3106,722,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,52056,10.50.75.153,9042,6,2023-07-19 13:37:48,90033362.0,1003,628,194368,48263,810.0,66.0,193.78664007976073,129.13236170865807,132.0,66.0,76.85191082802548,5.6454744441060685,2694.901030131475,18.11550700505886,55235.19141104294,142093.9849770404,4620636.0,3.0,90033362.0,89853.65469061876,175260.32751657203,4620636.0,3.0,89984679.0,143516.23444976076,221811.55549617793,4663348.0,79.0,0,0,0,0,20060,12560,11.140314853509524,6.975192151549334,66,810,148.76210913549968,116.2091121855896,13504.55775496295,1,0,0,0,0,0,0,0.6261216350947159,148.76210913549968,0.0,0.0,0.0,0.0,0.0,0.0,64860,3082,509,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,58638,10.50.75.153,7199,6,2023-07-19 13:38:44,41.0,1,1,74,54,74.0,74.0,74.0,0.0,54.0,54.0,54.0,0.0,3121951.219512195,48780.487804878045,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,24390.243902439022,24390.243902439022,54,74,64.0,10.0,100.0,1,0,0,0,0,0,0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64860,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,52112,10.50.75.153,9042,6,2023-07-19 13:37:56,90056384.0,1545,1044,320299,80568,562.0,66.0,207.31326860841423,129.26770691275237,172.0,66.0,77.17241379310344,6.046353950052186,4451.289094618767,28.748655953141537,34797.67542503864,82089.41983784683,3574183.0,1.0,90056384.0,58326.673575129535,103980.22014394662,3574183.0,1.0,89972417.0,86263.10354745925,124327.24025009948,3620784.0,73.0,0,0,0,0,30900,20880,17.155918674238578,11.59273727890296,66,562,154.83468520664348,118.58421483576525,14062.216008214928,1,0,0,0,0,0,0,0.6757281553398058,154.83468520664348,0.0,0.0,0.0,0.0,0.0,0.0,64860,3114,863,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,52118,10.50.75.153,9042,6,2023-07-19 13:37:56,90217423.0,1224,768,242186,59232,810.0,66.0,197.8643790849673,127.23797722691708,132.0,66.0,77125,5.3609312002051785,3341.0176213967006,22.079992242740076,45312.61828227022,112011.3461997785,4166165.9999999995,2.0,90217423.0,73767.31234668847,139480.87897719443,4166165.9999999995,2.0,89922085.0,117238.70273794002,174721.95688800002,4208895.0,84.0,0,0,0,0,24480,15360,13.56722414915354,8.512768093586535,66,810,151.31425702811245,115.81177013567331,13412.366101958034,1,0,0,0,0,0,0,0.6274509803921569,151.31425702811245,0.0,0.0,0.0,0.0,0.0,0.0,64860,3078,645,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
201.54.158.2,52134,10.50.75.153,9042,6,2023-07-19 13:37:56,90222214.0,934,594,179646,45473,562.0,66.0,192.34047109207708,127.4922079753298,132.0,66.0,76.55387205387206,5.856415529341874,2495.161557440832,16.935962134558128,59084.619515389655,147099.22741822473,4509859.0,2.0,90222214.0,96701.19399785638,182014.94824218546,4509859.0,2.0,89729529.0,151314.55143338954,227037.83426483624,4552153.0,86.0,0,0,0,0,18680,11880,10.35221769219718,6.583744442360947,66,562,147.3291884816754,114.6060444773968,13134.545430755052,1,0,0,0,0,0,0,0.6359743040685225,147.3291884816754,0.0,0.0,0.0,0.0,0.0,0.0,64860,2277,471,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
