time,avail
2023-12-25 13:36:25,13970.152
2023-12-25 13:36:24,13969.398
2023-12-25 13:36:23,13969.547
2023-12-25 13:36:22,13968.586
2023-12-25 13:36:21,13968.262
2023-12-25 13:36:20,13969.98
2023-12-25 13:36:19,13970.066
2023-12-25 13:36:18,13970.316
2023-12-25 13:36:17,13970.523
2023-12-25 13:36:16,13968.93
2023-12-25 13:36:15,13968.688
2023-12-25 13:36:14,13967.961
2023-12-25 13:36:13,13968.121
2023-12-25 13:36:12,13970.453
2023-12-25 13:36:11,13970.223
2023-12-25 13:36:10,13970.621
2023-12-25 13:36:09,13970.867
2023-12-25 13:36:08,13970.426
2023-12-25 13:36:07,13970.484
2023-12-25 13:36:06,13971.566
2023-12-25 13:36:05,13971.441
2023-12-25 13:36:04,13967.113
2023-12-25 13:36:03,13971.328
2023-12-25 13:36:02,13972.781
2023-12-25 13:36:01,13972.238
2023-12-25 13:36:00,13972.473
2023-12-25 13:35:59,13970.496
2023-12-25 13:35:58,13970.984
2023-12-25 13:35:57,13970.254
2023-12-25 13:35:56,13971.41
2023-12-25 13:35:55,13970.273
2023-12-25 13:35:54,13970.816
2023-12-25 13:35:53,13969.703
2023-12-25 13:35:52,13972.277
2023-12-25 13:35:51,13970.887
2023-12-25 13:35:50,13970.398
2023-12-25 13:35:49,13970.371
2023-12-25 13:35:48,13970.602
2023-12-25 13:35:47,13970.758
2023-12-25 13:35:46,13971.422
2023-12-25 13:35:45,13970.641
2023-12-25 13:35:44,13970.785
2023-12-25 13:35:43,13969.809
2023-12-25 13:35:42,13970.426
2023-12-25 13:35:41,13970.359
2023-12-25 13:35:40,13970.355
2023-12-25 13:35:39,13967.895
2023-12-25 13:35:38,13968.133
2023-12-25 13:35:37,13965.43
2023-12-25 13:35:36,13968.844
2023-12-25 13:35:35,13964.098
2023-12-25 13:35:34,13968.098
2023-12-25 13:35:33,13967.766
2023-12-25 13:35:32,13968.266
2023-12-25 13:35:31,13968.465
2023-12-25 13:35:30,13968.129
2023-12-25 13:35:29,13968.117
2023-12-25 13:35:28,13968.41
2023-12-25 13:35:27,13966.008
2023-12-25 13:35:26,13964.762
2023-12-25 13:35:25,13966.211
2023-12-25 13:35:24,13965.324
2023-12-25 13:35:23,13965.559
2023-12-25 13:35:22,13966.445
2023-12-25 13:35:21,13966.586
2023-12-25 13:35:20,13967.965
2023-12-25 13:35:19,13967.672
2023-12-25 13:35:18,13967.426
2023-12-25 13:35:17,13966.961
2023-12-25 13:35:16,13965.477
2023-12-25 13:35:15,13965.973
2023-12-25 13:35:14,13966.195
2023-12-25 13:35:13,13966.195
2023-12-25 13:35:12,13967.906
2023-12-25 13:35:11,13968.184
2023-12-25 13:35:10,13968.43
2023-12-25 13:35:09,13968.43
2023-12-25 13:35:08,13967.289
2023-12-25 13:35:07,13967.922
2023-12-25 13:35:06,13960.023
2023-12-25 13:35:05,13970.168
2023-12-25 13:35:04,13969.59
2023-12-25 13:35:03,13969.672
2023-12-25 13:35:02,13971.824
2023-12-25 13:35:01,13970.488
2023-12-25 13:35:00,13970.82
2023-12-25 13:34:59,13968.445
2023-12-25 13:34:58,13968.5
2023-12-25 13:34:57,13967.473
2023-12-25 13:34:56,13971.133
2023-12-25 13:34:55,13972.281
2023-12-25 13:34:54,13980.227
2023-12-25 13:34:53,13979.281
2023-12-25 13:34:52,13980.047
2023-12-25 13:34:51,13979.469
2023-12-25 13:34:50,13979.715
2023-12-25 13:34:49,13979.336
2023-12-25 13:34:48,13979.715
2023-12-25 13:34:47,13978.234
2023-12-25 13:34:46,13980.938
2023-12-25 13:34:45,13979.723
2023-12-25 13:34:44,13978.223
2023-12-25 13:34:43,13976.82
2023-12-25 13:34:42,13979.043
2023-12-25 13:34:41,13979.262
2023-12-25 13:34:40,13980.027
2023-12-25 13:34:39,13971.68
2023-12-25 13:34:38,13979.062
2023-12-25 13:34:37,13978.883
2023-12-25 13:34:36,13979.152
2023-12-25 13:34:35,13979.152
2023-12-25 13:34:34,13979.023
2023-12-25 13:34:33,13978.852
2023-12-25 13:34:32,13979.039
