Algorithm,Operation,Testbed,MSE,MAE,RMSE,MAPE,,,
LSTM,Write,Fabric,3.5916E-06,0.001450178,0.001895147,0.44400385,,,
LSTM,Write,Fabric,2.10599E-05,0.004224427,0.004589105,1.001065287,,,
LSTM,Write,Fabric,4.7694E-06,0.001731474,0.002183905,0.381259812,,,
LSTM,Write,Fabric,3.8839E-06,0.001590758,0.001970755,0.4791384,,,
LSTM,Write,Fabric,6.2331E-06,0.001887069,0.002496617,0.736717266,,,
LSTM,Write,Fabric,3.9719E-06,0.001552028,0.001992974,1.961959313,,,
LSTM,Write,Fabric,3.5745E-06,0.001463269,0.001890628,0.548531263,,,
LSTM,Write,Fabric,3.1848E-06,0.001302036,0.001784588,0.449676354,,,
LSTM,Write,Fabric,2.8655E-06,0.001279433,0.001692786,0.466623856,,,
LSTM,Write,Fabric,8.1154E-06,0.002339903,0.002848758,0.505763379,,,
RF,Write,Fabric,0.000000436,0.000273864,0.000660317,0.133519581,,,
RF,Write,Fabric,5.262E-07,0.000294469,0.00072541,0.134185106,,,
RF,Write,Fabric,7.627E-07,0.000316636,0.000873304,2.534883165,,,
RF,Write,Fabric,7.648E-07,0.000340541,0.000874519,0.216478449,,,
RF,Write,Fabric,1.2369E-06,0.000402132,0.001112156,2.919534249,,,
RF,Write,Fabric,5.832E-07,0.000305896,0.000763701,0.438805595,,,
RF,Write,Fabric,4.298E-07,0.000258199,0.000655577,0.334620931,,,
RF,Write,Fabric,5.606E-07,0.000310639,0.000748747,0.379048221,,,
RF,Write,Fabric,4.324E-07,0.000297709,0.000657586,0.292675871,,,
RF,Write,Fabric,6.106E-07,0.000306014,0.000781403,0.156240139,,,
XGBoost,Write,Fabric,7.5015E-06,0.001186159,0.002738887,3.997700625,,,
XGBoost,Write,Fabric,5.3347E-06,0.001135229,0.002309692,0.57728984,,,
XGBoost,Write,Fabric,3.8098E-06,0.00101786,0.001951881,1.166288713,,,
XGBoost,Write,Fabric,6.5657E-06,0.001131147,0.002562359,0.469755939,,,
XGBoost,Write,Fabric,5.0965E-06,0.001062143,0.002257549,0.669358629,,,
XGBoost,Write,Fabric,0.000002963,0.000870482,0.001721326,2.990072049,,,
XGBoost,Write,Fabric,5.8695E-06,0.001214157,0.002422705,0.448137663,,,
XGBoost,Write,Fabric,5.1163E-06,0.001038913,0.002261918,0.578228294,,,
XGBoost,Write,Fabric,4.2151E-06,0.000973283,0.002053063,0.291328371,,,
XGBoost,Write,Fabric,5.3811E-06,0.001044535,0.002319724,0.371969335,,,
CatBoost,Write,FIBRE-NG,2.23171E-05,0.00298438,0.004724096,0.916883507,,,
CatBoost,Write,FIBRE-NG,2.47881E-05,0.002871299,0.004978765,1.555402856,,,
CatBoost,Write,FIBRE-NG,1.81752E-05,0.002859881,0.004263233,0.923718152,,,
CatBoost,Write,FIBRE-NG,1.75902E-05,0.002618453,0.004194068,2.622965292,,,
CatBoost,Write,FIBRE-NG,2.75075E-05,0.003032136,0.005244762,1.812673855,,,
CatBoost,Write,FIBRE-NG,2.27633E-05,0.002690841,0.004771087,2.232756253,,,
CatBoost,Write,FIBRE-NG,2.86045E-05,0.003081142,0.005348322,1.22446043,,,
CatBoost,Write,FIBRE-NG,1.34915E-05,0.002483431,0.003673075,0.680796979,,,
CatBoost,Write,FIBRE-NG,2.13119E-05,0.002881397,0.004616479,0.938981496,,,
CatBoost,Write,FIBRE-NG,2.16715E-05,0.002951881,0.00465527,0.958234839,,,
DT,Write,FIBRE-NG,5.6443E-06,0.000727523,0.002375776,0.590102391,,,
DT,Write,FIBRE-NG,2.7908E-06,0.00066016,0.001670574,0.277267259,,,
DT,Write,FIBRE-NG,2.2558E-06,0.000684958,0.001501944,0.757859862,,,
DT,Write,FIBRE-NG,1.8423E-06,0.000601549,0.001357311,0.303065203,,,
DT,Write,FIBRE-NG,3.1131E-06,0.000716857,0.001764411,0.269229365,,,
DT,Write,FIBRE-NG,6.5909E-06,0.000857554,0.002567274,0.376780505,,,
DT,Write,FIBRE-NG,3.1219E-06,0.000664686,0.001766887,0.250416854,,,
DT,Write,FIBRE-NG,3.3216E-06,0.000751949,0.001822516,0.494516092,,,
DT,Write,FIBRE-NG,2.6552E-06,0.000645874,0.001629471,0.370052954,,,
DT,Write,FIBRE-NG,3.6081E-06,0.000637262,0.001899501,0.278968704,,,
KNN,Write,FIBRE-NG,0.001137998,0.024137046,0.033734227,6.115698791,,,
KNN,Write,FIBRE-NG,0.001107368,0.024043329,0.033277138,6.383486195,,,
KNN,Write,FIBRE-NG,0.000969678,0.022886087,0.031139647,5.76142533,,,
